Name	Raw_1	Raw_2	Derep_1	Derep_2	Bmtagger_1	Bmtagger_2	Trimmo_1	Trimmo_2	Trimmo_solo_1	Trimmo_solo_2
SRR2236758	5450883.0	5450883.0	5444789.0	5444789.0	5442219.0	5442219.0	4420540.0	4420540.0	269046.0	160552.0
SRR2245677	5951201.0	5951201.0	5944548.0	5944548.0	5941072.0	5941072.0	4912519.0	4912519.0	297981.0	180435.0
SRR2244035	6049400.0	6049400.0	6040212.0	6040212.0	6036506.0	6036506.0	4911068.0	4911068.0	326864.0	192941.0
SRR2237579	5040280.0	5040280.0	5033831.0	5033831.0	5032825.0	5032825.0	4190318.0	4190318.0	254559.0	150066.0
SRR2236818	5125197.0	5125197.0	5120309.0	5120309.0	5119424.0	5119424.0	4241945.0	4241945.0	265467.0	155619.0
SRR2236779	5101170.0	5101170.0	5095375.0	5095375.0	5094492.0	5094492.0	4238201.0	4238201.0	254007.0	154483.0
SRR2236874	5269577.0	5269577.0	5262573.0	5262573.0	5261661.0	5261661.0	4291086.0	4291086.0	292970.0	167213.0
SRR2245620	4650592.0	4650592.0	4644492.0	4644492.0	4643536.0	4643536.0	3836769.0	3836769.0	246571.0	129491.0
SRR2244216	4801400.0	4801400.0	4795103.0	4795103.0	4794116.0	4794116.0	3882400.0	3882400.0	279278.0	144054.0
SRR2243859	4725269.0	4725269.0	4719737.0	4719737.0	4718804.0	4718804.0	3894944.0	3894944.0	245700.0	135029.0
SRR2243662	4729798.0	4729798.0	4725016.0	4725016.0	4724050.0	4724050.0	3886972.0	3886972.0	254631.0	135597.0
SRR2236892	5403883.0	5403883.0	5396110.0	5396110.0	5395070.0	5395070.0	4296900.0	4296900.0	315661.0	164411.0
SRR2236857	5190405.0	5190405.0	5183149.0	5183149.0	5182135.0	5182135.0	4202044.0	4202044.0	276310.0	145543.0
SRR2237011	2896762.0	2896762.0	2892773.0	2892773.0	2835916.0	2835916.0	2340452.0	2340452.0	146720.0	78629.0
SRR2237356	2947898.0	2947898.0	2944421.0	2944421.0	2887221.0	2887221.0	2381222.0	2381222.0	146842.0	82210.0
SRR2237570	3005632.0	3005632.0	3001375.0	3001375.0	2943154.0	2943154.0	2377686.0	2377686.0	167050.0	88722.0
SRR2237708	2948121.0	2948121.0	2945120.0	2945120.0	2888468.0	2888468.0	2375017.0	2375017.0	151663.0	82099.0
SRR2227977	265820.0	265820.0	265652.0	265652.0	154652.0	154652.0	71110.0	71110.0	9357.0	3646.0
SRR2227838	279212.0	279212.0	278968.0	278968.0	163986.0	163986.0	71420.0	71420.0	9841.0	3696.0
SRR2227834	262784.0	262784.0	262528.0	262528.0	151763.0	151763.0	69833.0	69833.0	9007.0	3517.0
